location,bedroom_size,month,year,price
Arizona,4br,06,2016,1638.0
Arizona,4br,06,2017,1714.0
Arizona,4br,07,2014,1531.0
Arizona,4br,07,2015,1594.0
Arizona,4br,07,2016,1642.0
Arizona,4br,07,2017,1719.0
Arizona,4br,08,2014,1534.0
Arizona,4br,08,2015,1600.0
Arizona,4br,08,2016,1646.0
Arizona,4br,08,2017,1723.0
Arizona,4br,09,2014,1536.0
Arizona,4br,09,2015,1602.0
Arizona,4br,09,2016,1652.0
Arizona,4br,09,2017,1726.0
Arizona,4br,10,2014,1538.0
Arizona,4br,10,2015,1604.0
Arizona,4br,10,2016,1656.0
Arizona,4br,10,2017,1726.0
Arizona,4br,11,2014,1543.0
Arizona,4br,11,2015,1612.0
Arizona,4br,11,2016,1660.0
Arizona,4br,11,2017,1726.0
Arizona,4br,12,2014,1548.0
Arizona,4br,12,2015,1619.0
Arizona,4br,12,2016,1663.0
Arizona,4br,12,2017,1728.0
Arkansas,Studio,01,2014,502.0
Arkansas,Studio,01,2015,509.0
Arkansas,Studio,01,2016,507.0
Arkansas,Studio,01,2017,519.0
Arkansas,Studio,02,2014,502.0
Arkansas,Studio,02,2015,509.0
Arkansas,Studio,02,2016,506.0
Arkansas,Studio,02,2017,519.0
Arkansas,Studio,03,2014,502.0
Arkansas,Studio,03,2015,509.0
Arkansas,Studio,03,2016,507.0
Arkansas,Studio,03,2017,520.0
Arkansas,Studio,04,2014,504.0
Arkansas,Studio,04,2015,509.0
Arkansas,Studio,04,2016,511.0
Arkansas,Studio,04,2017,521.0
Arkansas,Studio,05,2014,505.0
Arkansas,Studio,05,2015,510.0
Arkansas,Studio,05,2016,514.0
Arkansas,Studio,05,2017,522.0
Arkansas,Studio,06,2014,506.0
Arkansas,Studio,06,2015,510.0
Arkansas,Studio,06,2016,514.0
Arkansas,Studio,06,2017,522.0
Arkansas,Studio,07,2014,507.0
Arkansas,Studio,07,2015,511.0
Arkansas,Studio,07,2016,515.0
Arkansas,Studio,07,2017,522.0
Arkansas,Studio,08,2014,507.0
Arkansas,Studio,08,2015,511.0
Arkansas,Studio,08,2016,515.0
Arkansas,Studio,08,2017,521.0
Arkansas,Studio,09,2014,507.0
Arkansas,Studio,09,2015,511.0
Arkansas,Studio,09,2016,516.0
Arkansas,Studio,09,2017,522.0
Arkansas,Studio,10,2014,508.0
Arkansas,Studio,10,2015,510.0
Arkansas,Studio,10,2016,517.0
Arkansas,Studio,10,2017,522.0
Arkansas,Studio,11,2014,508.0
Arkansas,Studio,11,2015,509.0
Arkansas,Studio,11,2016,518.0
Arkansas,Studio,11,2017,522.0
Arkansas,Studio,12,2014,509.0
Arkansas,Studio,12,2015,509.0
Arkansas,Studio,12,2016,519.0
Arkansas,Studio,12,2017,522.0
Arkansas,1br,01,2014,546.0
Arkansas,1br,01,2015,554.0
Arkansas,1br,01,2016,552.0
Arkansas,1br,01,2017,565.0
Arkansas,1br,02,2014,546.0
Arkansas,1br,02,2015,554.0
Arkansas,1br,02,2016,551.0
Arkansas,1br,02,2017,565.0
Arkansas,1br,03,2014,547.0
Arkansas,1br,03,2015,555.0
Arkansas,1br,03,2016,552.0
Arkansas,1br,03,2017,566.0
Arkansas,1br,04,2014,549.0
Arkansas,1br,04,2015,555.0
Arkansas,1br,04,2016,556.0
