year,total,individual,family,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,state,population,per_capita,individual_rent,family_rent
2017,10798.0,6894.0,3904.0,730.0,49.0,681.0,290.0,1.0,289.0,406.0,Illinois,12802023.0,0.8434604437126851,845.125,1378.638888888889
2017,5438.0,3623.0,1815.0,294.0,30.0,264.0,70.0,0.0,70.0,93.0,Indiana,6666818.0,0.8156814840303125,596.8333333333334,1022.3611111111111
2017,2287.0,1423.0,864.0,103.0,6.0,97.0,33.0,0.0,33.0,60.0,Kansas,2913123.0,0.7850681210508448,602.7083333333334,1089.6666666666667
2017,4025.0,3032.0,993.0,253.0,18.0,235.0,62.0,1.0,61.0,89.0,Kentucky,4454189.0,0.9036437385122184,571.625,1008.7222222222222
2017,3305.0,2559.0,746.0,236.0,46.0,190.0,31.0,0.0,31.0,55.0,Louisiana,4684333.0,0.7055433505688004,651.2916666666666,1073.861111111111
2017,17565.0,6267.0,11298.0,469.0,57.0,412.0,572.0,0.0,572.0,715.0,Massachusetts,6859819.0,2.5605631868712573,1186.625,1916.388888888889
2017,7247.0,5077.0,2170.0,272.0,11.0,261.0,121.0,0.0,121.0,176.0,Maryland,6052177.0,1.1974203662582903,1161.5416666666667,1915.0833333333333
2017,2280.0,1352.0,928.0,178.0,28.0,150.0,26.0,2.0,24.0,33.0,Maine,1335907.0,1.7067056314548843,747.1666666666666,1226.638888888889
2017,9051.0,5628.0,3423.0,608.0,80.0,528.0,201.0,5.0,196.0,319.0,Michigan,9962311.0,0.9085241366185016,651.125,1148.75
2017,7668.0,3899.0,3769.0,889.0,136.0,753.0,315.0,10.0,305.0,501.0,Minnesota,5576606.0,1.3750299017000662,752.7083333333334,1403.6944444444443
2017,6037.0,3768.0,2269.0,548.0,101.0,447.0,163.0,4.0,159.0,218.0,Missouri,6113532.0,0.9874815409488328,615.75,1096.861111111111
2017,1472.0,1100.0,372.0,59.0,21.0,38.0,9.0,0.0,9.0,14.0,Mississippi,2984100.0,0.4932810562648705,609.7083333333334,1004.7777777777778
2017,1529.0,987.0,542.0,106.0,14.0,92.0,21.0,0.0,21.0,24.0,Montana,1050493.0,1.4555070809610344,581.4583333333334,1053.7777777777778
2017,8962.0,6044.0,2918.0,434.0,68.0,366.0,112.0,0.0,112.0,157.0,North Carolina,10273419.0,0.8723483389512294,706.0833333333334,1168.5555555555557
2017,1089.0,832.0,257.0,80.0,17.0,63.0,17.0,0.0,17.0,19.0,North Dakota,755393.0,1.4416336926606417,584.125,1052.7222222222222
2017,2501.0,1698.0,803.0,164.0,11.0,153.0,54.0,0.0,54.0,60.0,Nebraska,1920076.0,1.302552607292628,586.2083333333334,1060.111111111111
2017,1456.0,776.0,680.0,76.0,0.0,76.0,36.0,0.0,36.0,51.0,New Hampshire,1342795.0,1.08430549711609,942.9166666666666,1606.388888888889
2017,8536.0,5433.0,3103.0,492.0,53.0,439.0,225.0,0.0,225.0,300.0,New Jersey,9005644.0,0.9478500371544778,1153.2916666666667,1907.7222222222222
2017,2482.0,1865.0,617.0,181.0,78.0,103.0,14.0,1.0,13.0,19.0,New Mexico,2088070.0,1.1886574683798914,609.375,1091.361111111111
2017,7833.0,7281.0,552.0,2166.0,262.0,1904.0,30.0,1.0,29.0,35.0,Nevada,2998039.0,2.612707840024763,762.7916666666666,1471.6666666666667
2017,89503.0,37390.0,52113.0,2829.0,101.0,2728.0,3020.0,12.0,3008.0,3367.0,New York,19849399.0,4.50910377689521,1204.4583333333333,1856.4444444444443
2017,10095.0,6688.0,3407.0,695.0,64.0,631.0,160.0,1.0,159.0,223.0,Ohio,11658609.0,0.8658837430777548,606.2916666666666,1061.138888888889
2017,4199.0,2824.0,1375.0,363.0,45.0,318.0,50.0,0.0,50.0,63.0,Oklahoma,3930864.0,1.0682129933775373,563.75,1006.1388888888889
2017,13953.0,10434.0,3519.0,1462.0,515.0,947.0,125.0,2.0,123.0,144.0,Oregon,4142776.0,3.368031484202864,938.5833333333334,1702.1944444444443
2017,14138.0,8271.0,5867.0,756.0,60.0,696.0,466.0,1.0,465.0,681.0,Pennsylvania,12805537.0,1.1040536605376252,755.875,1231.111111111111
2017,1180.0,802.0,378.0,49.0,1.0,48.0,6.0,0.0,6.0,10.0,Rhode Island,1059639.0,1.1135867970129452,901.0833333333334,1461.6666666666667
2017,3916.0,2896.0,1020.0,173.0,8.0,165.0,44.0,0.0,44.0,63.0,South Carolina,5024369.0,0.7794013536824227,713.1666666666666,1193.7777777777778
2017,943.0,611.0,332.0,66.0,19.0,47.0,14.0,2.0,12.0,18.0,South Dakota,869666.0,1.0843243268105227,521.625,935.9166666666666
2017,8309.0,6137.0,2172.0,457.0,23.0,434.0,47.0,0.0,47.0,89.0,Tennessee,6715984.0,1.2371977062482578,643.125,1096.2777777777778
2017,23548.0,16708.0,6840.0,1318.0,129.0,1189.0,301.0,5.0,296.0,512.0,Texas,28304596.0,0.8319496946714944,770.4583333333334,1373.111111111111
2017,2852.0,1882.0,970.0,180.0,29.0,151.0,37.0,1.0,36.0,45.0,Utah,3101833.0,0.919456334367453,705.5,1306.111111111111
2017,6067.0,4028.0,2039.0,303.0,15.0,288.0,83.0,0.0,83.0,109.0,Virginia,8470020.0,0.7162911067506333,1005.0,1614.5
2017,1225.0,697.0,528.0,94.0,2.0,92.0,35.0,0.0,35.0,36.0,Vermont,623657.0,1.964220717477716,900.0833333333334,1513.5
2017,21112.0,14781.0,6331.0,2135.0,304.0,1831.0,256.0,7.0,249.0,374.0,Washington,7405743.0,2.8507605516421517,1064.2083333333333,1969.388888888889
2017,5027.0,2645.0,2382.0,276.0,28.0,248.0,145.0,0.0,145.0,190.0,Wisconsin,5795483.0,0.8673996628063615,622.375,1082.0277777777778
2017,1309.0,1032.0,277.0,79.0,7.0,72.0,10.0,0.0,10.0,13.0,West Virginia,1815857.0,0.7208717426537443,574.0,938.1111111111111
2017,873.0,622.0,251.0,62.0,19.0,43.0,16.0,0.0,16.0,11.0,Wyoming,579315.0,1.506952176277155,576.5833333333334,1035.2777777777778
2016,1940.0,1527.0,413.0,173.0,19.0,154.0,9.0,0.0,9.0,10.0,Alaska,741522.0,2.616240650985405,892.625,1668.4166666666667
