year,total,individual,family,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,state_name
2012,16768.0,5101.0,11667.0,,,,,,,,Colorado
2012,4209.0,2906.0,1303.0,,,,,,,,Connecticut
2012,6954.0,3767.0,3187.0,,,,,,,,Washington DC
2012,1008.0,611.0,397.0,,,,,,,,Delaware
2012,55170.0,36771.0,18399.0,,,,,,,,Florida
2012,20516.0,15363.0,5153.0,,,,,,,,Georgia
2012,6246.0,3130.0,3116.0,,,,,,,,Hawaii
2012,2928.0,1446.0,1482.0,,,,,,,,Iowa
2012,1968.0,1175.0,793.0,,,,,,,,Idaho
2012,14144.0,8269.0,5875.0,,,,,,,,Illinois
2012,6259.0,3316.0,2943.0,,,,,,,,Indiana
2012,2684.0,1526.0,1158.0,,,,,,,,Kansas
2012,5230.0,3282.0,1948.0,,,,,,,,Kentucky
2012,7772.0,6322.0,1450.0,,,,,,,,Louisiana
2012,17501.0,6289.0,11212.0,,,,,,,,Massachusetts
2012,9454.0,5727.0,3727.0,,,,,,,,Maryland
2012,2393.0,1287.0,1106.0,,,,,,,,Maine
2012,12592.0,7397.0,5195.0,,,,,,,,Michigan
2012,7744.0,3540.0,4204.0,,,,,,,,Minnesota
2012,10237.0,4855.0,5382.0,,,,,,,,Missouri
2012,2413.0,1794.0,619.0,,,,,,,,Mississippi
2012,1833.0,1166.0,667.0,,,,,,,,Montana
2012,13524.0,8480.0,5044.0,,,,,,,,North Carolina
2012,688.0,485.0,203.0,,,,,,,,North Dakota
2012,3789.0,2215.0,1574.0,,,,,,,,Nebraska
2012,1496.0,832.0,664.0,,,,,,,,New Hampshire
2012,13025.0,6603.0,6422.0,,,,,,,,New Jersey
2012,3245.0,2136.0,1109.0,,,,,,,,New Mexico
2012,8497.0,7493.0,1004.0,,,,,,,,Nevada
2012,69566.0,30133.0,39433.0,,,,,,,,New York
2012,13977.0,7855.0,6122.0,,,,,,,,Ohio
2012,5032.0,3454.0,1578.0,,,,,,,,Oklahoma
2012,15828.0,9788.0,6040.0,,,,,,,,Oregon
2012,14736.0,7295.0,7441.0,,,,,,,,Pennsylvania
2012,1277.0,788.0,489.0,,,,,,,,Rhode Island
2012,4915.0,3327.0,1588.0,,,,,,,,South Carolina
2012,859.0,512.0,347.0,,,,,,,,South Dakota
2012,9426.0,6905.0,2521.0,,,,,,,,Tennessee
2012,34052.0,20743.0,13309.0,,,,,,,,Texas
2012,3527.0,2049.0,1478.0,,,,,,,,Utah
2012,8424.0,5084.0,3340.0,,,,,,,,Virginia
2012,1160.0,653.0,507.0,,,,,,,,Vermont
2012,20504.0,11273.0,9231.0,,,,,,,,Washington
2012,6027.0,3033.0,2994.0,,,,,,,,Wisconsin
2012,2410.0,1742.0,668.0,,,,,,,,West Virginia
2012,1813.0,1302.0,511.0,,,,,,,,Wyoming
2011,2128.0,1286.0,842.0,,,,,,,,Alaska
2011,5558.0,4325.0,1233.0,,,,,,,,Alabama
2011,3424.0,2505.0,919.0,,,,,,,,Arkansas
2011,10504.0,6403.0,4101.0,,,,,,,,Arizona
2011,125128.0,97964.0,27164.0,,,,,,,,California
2011,15116.0,4546.0,10570.0,,,,,,,,Colorado
2011,4456.0,3071.0,1385.0,,,,,,,,Connecticut
2011,6546.0,3858.0,2688.0,,,,,,,,Washington DC
2011,1035.0,663.0,372.0,,,,,,,,Delaware
2011,56687.0,37584.0,19103.0,,,,,,,,Florida
2011,20975.0,15975.0,5000.0,,,,,,,,Georgia
2011,6188.0,3195.0,2993.0,,,,,,,,Hawaii
2011,3134.0,1628.0,1506.0,,,,,,,,Iowa
2011,2199.0,1310.0,889.0,,,,,,,,Idaho
2011,14009.0,8173.0,5836.0,,,,,,,,Illinois
2011,6196.0,3789.0,2407.0,,,,,,,,Indiana
2011,2511.0,1425.0,1086.0,,,,,,,,Kansas
2011,6034.0,3842.0,2192.0,,,,,,,,Kentucky
2011,9291.0,7941.0,1350.0,,,,,,,,Louisiana
2011,16664.0,6344.0,10320.0,,,,,,,,Massachusetts
2011,10208.0,6353.0,3855.0,,,,,,,,Maryland
2011,2447.0,1184.0,1263.0,,,,,,,,Maine
2011,13185.0,7634.0,5551.0,,,,,,,,Michigan
2011,7495.0,3410.0,4085.0,,,,,,,,Minnesota
2011,8989.0,4657.0,4332.0,,,,,,,,Missouri
2011,2306.0,1825.0,481.0,,,,,,,,Mississippi
2011,1768.0,1094.0,674.0,,,,,,,,Montana
2011,12896.0,8303.0,4593.0,,,,,,,,North Carolina
2011,603.0,396.0,207.0,,,,,,,,North Dakota
2011,3548.0,2210.0,1338.0,,,,,,,,Nebraska
2011,1469.0,820.0,649.0,,,,,,,,New Hampshire
2011,14137.0,6841.0,7296.0,,,,,,,,New Jersey
2011,3601.0,2246.0,1355.0,,,,,,,,New Mexico
2011,9150.0,7973.0,1177.0,,,,,,,,Nevada
2011,63445.0,27338.0,36107.0,,,,,,,,New York
2011,13030.0,7812.0,5218.0,,,,,,,,Ohio
2011,4625.0,3236.0,1389.0,,,,,,,,Oklahoma
2011,17254.0,9445.0,7809.0,,,,,,,,Oregon
2011,15096.0,7867.0,7229.0,,,,,,,,Pennsylvania
2011,1070.0,652.0,418.0,,,,,,,,Rhode Island
2011,5093.0,3505.0,1588.0,,,,,,,,South Carolina
2011,826.0,460.0,366.0,,,,,,,,South Dakota
2011,9113.0,6475.0,2638.0,,,,,,,,Tennessee
2011,36911.0,23577.0,13334.0,,,,,,,,Texas
2011,3130.0,1842.0,1288.0,,,,,,,,Utah
