state,state_name,year,total,chronic,sh_chronic,uns_chronic,non_chronic,sh_chronic_ind,uns_chronic_ind,sh_chronic_fam,uns_chronic_fam
MT,Montana ,2015,1709.0,166.0,26.0,140.0,1543.0,23.0,131.0,3.0,9.0
NC,North Carolina ,2015,10685.0,1364.0,682.0,682.0,9321.0,605.0,648.0,77.0,34.0
ND,North Dakota ,2015,1305.0,138.0,68.0,70.0,1167.0,52.0,18.0,16.0,52.0
NE,Nebraska ,2015,2744.0,322.0,266.0,56.0,2422.0,201.0,56.0,65.0,0.0
NH,New Hampshire ,2015,1445.0,317.0,260.0,57.0,1128.0,205.0,52.0,55.0,5.0
NJ,New Jersey ,2015,10098.0,1410.0,972.0,438.0,8688.0,752.0,430.0,220.0,8.0
NM,New Mexico ,2015,2629.0,716.0,445.0,271.0,1913.0,360.0,261.0,85.0,10.0
NV,Nevada ,2015,8743.0,594.0,117.0,477.0,8149.0,108.0,477.0,9.0,0.0
NY,New York ,2015,88250.0,7116.0,4733.0,2383.0,81134.0,1982.0,2345.0,2751.0,38.0
OH,Ohio ,2015,11182.0,1275.0,887.0,388.0,9907.0,782.0,378.0,105.0,10.0
OK,Oklahoma ,2015,3777.0,581.0,342.0,239.0,3196.0,289.0,219.0,53.0,20.0
OR,Oregon ,2015,13226.0,4011.0,1008.0,3003.0,9215.0,921.0,2600.0,87.0,403.0
PA,Pennsylvania ,2015,15421.0,1590.0,1040.0,550.0,13831.0,909.0,533.0,131.0,17.0
RI,Rhode Island ,2015,1111.0,130.0,118.0,12.0,981.0,100.0,10.0,18.0,2.0
SC,South Carolina ,2015,5354.0,1020.0,525.0,495.0,4334.0,456.0,460.0,69.0,35.0
SD,South Dakota ,2015,1036.0,95.0,67.0,28.0,941.0,59.0,26.0,8.0,2.0
TN,Tennessee ,2015,9123.0,1650.0,702.0,948.0,7473.0,648.0,844.0,54.0,104.0
TX,Texas ,2015,23678.0,4304.0,1915.0,2389.0,19374.0,1543.0,2235.0,372.0,154.0
UT,Utah ,2015,3025.0,233.0,215.0,18.0,2792.0,165.0,13.0,50.0,5.0
VA,Virginia ,2015,7001.0,1158.0,789.0,369.0,5843.0,702.0,339.0,87.0,30.0
VT,Vermont ,2015,1523.0,166.0,111.0,55.0,1357.0,84.0,55.0,27.0,0.0
WA,Washington ,2015,19419.0,2482.0,1027.0,1455.0,16937.0,908.0,1353.0,119.0,102.0
WI,Wisconsin ,2015,6057.0,464.0,377.0,87.0,5593.0,277.0,84.0,100.0,3.0
WV,West Virginia ,2015,1835.0,386.0,226.0,160.0,1449.0,192.0,160.0,34.0,0.0
WY,Wyoming ,2015,798.0,102.0,37.0,65.0,696.0,35.0,51.0,2.0,14.0
AK,Alaska ,2014,1784.0,206.0,137.0,69.0,1578.0,119.0,63.0,18.0,6.0
AL,Alabama,2014,4561.0,729.0,283.0,446.0,3832.0,245.0,373.0,38.0,73.0
AR,Arkansas ,2014,2936.0,519.0,85.0,434.0,2417.0,82.0,434.0,3.0,0.0
AZ,Arizona ,2014,10495.0,959.0,316.0,643.0,9536.0,303.0,601.0,13.0,42.0
CA,California ,2014,113952.0,31078.0,5131.0,25947.0,82874.0,4417.0,23783.0,714.0,2164.0
CO,Colorado ,2014,10028.0,1621.0,747.0,874.0,8407.0,635.0,700.0,112.0,174.0
CT,Connecticut ,2014,4450.0,1215.0,847.0,368.0,3235.0,696.0,330.0,151.0,38.0
DC,Washington DC,2014,7748.0,2029.0,1694.0,335.0,5719.0,1274.0,335.0,420.0,0.0
DE,Delaware ,2014,901.0,91.0,82.0,9.0,810.0,79.0,9.0,3.0,0.0
FL,Florida ,2014,41542.0,7989.0,1903.0,6086.0,33553.0,1717.0,5126.0,186.0,960.0
GA,Georgia ,2014,16521.0,3004.0,945.0,2059.0,13517.0,862.0,1783.0,83.0,276.0
HI,Hawaii ,2014,6918.0,1301.0,199.0,1102.0,5617.0,145.0,964.0,54.0,138.0
IA,Iowa ,2014,3122.0,244.0,154.0,90.0,2878.0,121.0,90.0,33.0,0.0
ID,Idaho ,2014,2104.0,244.0,105.0,139.0,1860.0,69.0,87.0,36.0,52.0
IL,Illinois ,2014,13107.0,1488.0,1010.0,478.0,11619.0,891.0,458.0,119.0,20.0
IN,Indiana ,2014,5971.0,596.0,485.0,111.0,5375.0,433.0,109.0,52.0,2.0
KS*,Kansas*,2014,2783.0,320.0,212.0,108.0,2463.0,184.0,106.0,28.0,2.0
KY,Kentucky ,2014,5089.0,727.0,499.0,228.0,4362.0,424.0,190.0,75.0,38.0
LA,Louisiana ,2014,4606.0,776.0,262.0,514.0,3830.0,232.0,511.0,30.0,3.0
MA,Massachusetts ,2014,21237.0,3311.0,3006.0,305.0,17926.0,1285.0,305.0,1721.0,0.0
MD,Maryland ,2014,7856.0,1740.0,1135.0,605.0,6116.0,997.0,518.0,138.0,87.0
ME,Maine ,2014,2726.0,244.0,218.0,26.0,2482.0,200.0,18.0,18.0,8.0
MI,Michigan ,2014,12227.0,1293.0,825.0,468.0,10934.0,745.0,415.0,80.0,53.0
MN,Minnesota ,2014,8377.0,1235.0,889.0,346.0,7142.0,562.0,323.0,327.0,23.0
MO,Missouri ,2014,7282.0,997.0,714.0,283.0,6285.0,469.0,266.0,245.0,17.0
MS,Mississippi ,2014,2226.0,282.0,79.0,203.0,1944.0,74.0,201.0,5.0,2.0
MT,Montana ,2014,1745.0,270.0,77.0,193.0,1475.0,71.0,185.0,6.0,8.0
NC,North Carolina ,2014,11491.0,1431.0,720.0,711.0,10060.0,639.0,645.0,81.0,66.0
ND,North Dakota ,2014,1258.0,115.0,101.0,14.0,1143.0,97.0,14.0,4.0,0.0
NE,Nebraska ,2014,3026.0,426.0,397.0,29.0,2600.0,336.0,29.0,61.0,0.0
NH,New Hampshire ,2014,1376.0,338.0,286.0,52.0,1038.0,251.0,50.0,35.0,2.0
NJ,New Jersey ,2014,11671.0,1399.0,1007.0,392.0,10272.0,760.0,390.0,247.0,2.0
NM,New Mexico ,2014,2746.0,709.0,490.0,219.0,2037.0,458.0,159.0,32.0,60.0
NV,Nevada ,2014,8582.0,705.0,104.0,601.0,7877.0,96.0,601.0,8.0,0.0
NY,New York ,2014,80590.0,7212.0,4783.0,2429.0,73378.0,1947.0,2403.0,2836.0,26.0
OH,Ohio ,2014,11823.0,1481.0,1009.0,472.0,10342.0,894.0,446.0,115.0,26.0
OK,Oklahoma ,2014,4191.0,671.0,416.0,255.0,3520.0,366.0,219.0,50.0,36.0
OR,Oregon ,2014,12164.0,2695.0,577.0,2118.0,9469.0,505.0,1702.0,72.0,416.0
PA,Pennsylvania ,2014,15333.0,1607.0,1134.0,473.0,13726.0,983.0,466.0,151.0,7.0
RI,Rhode Island ,2014,1190.0,204.0,198.0,6.0,986.0,198.0,6.0,0.0,0.0
SC,South Carolina ,2014,5057.0,273.0,100.0,173.0,4784.0,100.0,173.0,0.0,0.0
SD,South Dakota ,2014,885.0,118.0,92.0,26.0,767.0,68.0,13.0,24.0,13.0
TN,Tennessee ,2014,9415.0,2195.0,1364.0,831.0,7220.0,1169.0,735.0,195.0,96.0
TX,Texas ,2014,28495.0,5416.0,2231.0,3185.0,23079.0,1892.0,3060.0,339.0,125.0
UT,Utah ,2014,3081.0,422.0,380.0,42.0,2659.0,346.0,40.0,34.0,2.0
VA,Virginia ,2014,7020.0,1021.0,730.0,291.0,5999.0,674.0,291.0,56.0,0.0
VT,Vermont ,2014,1559.0,283.0,228.0,55.0,1276.0,159.0,40.0,69.0,15.0
WA,Washington ,2014,18442.0,2535.0,1129.0,1406.0,15907.0,1015.0,1296.0,114.0,110.0
WI,Wisconsin ,2014,6055.0,524.0,447.0,77.0,5531.0,359.0,77.0,88.0,0.0
WV,West Virginia ,2014,2013.0,482.0,304.0,178.0,1531.0,279.0,145.0,25.0,33.0
WY,Wyoming ,2014,757.0,144.0,104.0,40.0,613.0,86.0,19.0,18.0,21.0
AK,Alaska ,2013,1946.0,184.0,138.0,46.0,1762.0,124.0,42.0,14.0,4.0
AL,Alabama,2013,4689.0,858.0,295.0,563.0,3831.0,249.0,519.0,46.0,44.0
AR,Arkansas ,2013,3812.0,602.0,171.0,431.0,3210.0,142.0,423.0,29.0,8.0
